file,main,res,task,f,corpus
ES2004d.Mix-Headset,0.06,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2004d.Mix-Headset,33.1,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2004d.Mix-Headset,0.06,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2004d.Mix-Headset,32.91,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2004d.Mix-Headset,58.92,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2004d.Mix-Headset,28.03,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2004d.Mix-Headset,28.03,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2014a.Mix-Headset,31.32,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2014a.Mix-Headset,33.76,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2014a.Mix-Headset,0.04,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2014a.Mix-Headset,52.85,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2014a.Mix-Headset,56.57,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2014a.Mix-Headset,34.84,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
