file	main
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_dev_enr30_test30_far_clean	31.03
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_dev_enr30_test30_tv_clean	41.43
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_dev_enr30_test5_clean	32.83
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_dev_enr30_test5_clo_clean	32.44
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_dev_enr30_test5_far_clean	30.28
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_dev_enr30_test5_tv_clean	39.96
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_dev_enr30_tv_clean	40.05
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_eval_enr30_clean	29.61
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_eval_enr30_clo_clean	35.38
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_eval_enr30_clofarwall_clean	24.39
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_eval_enr30_clomed_clean	29.86
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_eval_enr30_far_clean	30.24
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_eval_enr30_med_clean	32.30
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_eval_enr30_test15_clean	29.33
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_eval_enr30_test15_clo_clean	35.63
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_eval_enr30_test15_clofarwall_clean	24.31
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_eval_enr30_test15_clomed_clean	29.32
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_eval_enr30_test15_far_clean	29.88
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_eval_enr30_test15_med_clean	32.06
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_eval_enr30_test15_tv_clean	30.15
